Attitude,,,,Error,,,DError,,,Torque,,
0.5787932,0.4577778,0.08082056,0.6700045,61.61447,-3.516174,-41.26399,5.819,6.113586,-1.290131,-12.66534,7.168439,11.08907
0.5765564,0.4561125,0.09024217,0.6718635,60.88101,-4.26223,-41.08474,5.867676,5.968445,-1.434021,-12.39663,7.247114,10.8914
0.5742716,0.4544769,0.09968224,0.6735922,60.14148,-4.990631,-40.88813,5.91629,5.827209,-1.572906,-12.12615,7.324399,10.69353
0.5719391,0.4528734,0.1091394,0.675189,59.39589,-5.701813,-40.67471,5.964691,5.689453,-1.707367,-11.85408,7.399997,10.49505
0.569559,0.4513047,0.1186122,0.676652,58.64423,-6.396179,-40.44503,6.013245,5.554932,-1.837402,-11.58003,7.473785,10.29611
0.5671318,0.4497735,0.128099,0.6779795,57.8865,-7.074104,-40.19965,6.06189,5.423401,-1.963074,-11.30406,7.545632,10.09682
0.5646575,0.4482825,0.1375984,0.6791697,57.12266,-7.735924,-39.93906,6.110718,5.294556,-2.084717,-11.02608,7.615333,9.897
0.5621367,0.4468345,0.1471086,0.6802208,56.35268,-8.381958,-39.66375,6.159821,5.168274,-2.202454,-10.74599,7.682861,9.696671
0.5595696,0.4454325,0.1566278,0.681131,55.57653,-9.012482,-39.3742,6.209229,5.044189,-2.316406,-10.46373,7.747934,9.495853
0.5569568,0.4440795,0.1661542,0.6818984,54.79416,-9.627762,-39.07088,6.258911,4.922241,-2.426575,-10.17934,7.81057,9.294689
0.5542986,0.4427784,0.1756858,0.682521,54.0055,-10.22802,-38.75423,6.309296,4.802063,-2.533142,-9.892355,7.870469,9.093128
0.5515956,0.4415325,0.1852207,0.6829969,53.21049,-10.81345,-38.4247,6.360077,4.683411,-2.636292,-9.603071,7.927444,8.891118
0.5488483,0.4403449,0.1947567,0.6833241,52.40906,-11.38421,-38.08269,6.411469,4.566101,-2.736084,-9.31125,7.981364,8.688723
0.5460576,0.439219,0.2042914,0.6835005,51.60113,-11.94044,-37.72862,6.46344,4.449829,-2.83252,-9.016899,8.03196,8.486068
0.543224,0.4381582,0.2138227,0.683524,50.78661,-12.48225,-37.3629,6.516174,4.334473,-2.925781,-8.719808,8.079146,8.283089
0.5403485,0.437166,0.2233478,0.6833924,49.96541,-13.0097,-36.98592,6.56955,4.219604,-3.015869,-8.420074,8.122514,8.079906
0.5374321,0.4362459,0.2328643,0.6831037,49.13744,-13.52286,-36.59805,6.623749,4.105286,-3.102966,-8.117485,8.162144,7.876448
0.5344756,0.4354016,0.2423693,0.6826555,48.30262,-14.02172,-36.19968,6.678589,3.990906,-3.186951,-7.812198,8.197422,7.672953
0.5314804,0.4346369,0.2518599,0.6820455,47.46081,-14.50627,-35.79118,6.734467,3.876404,-3.267944,-7.503778,8.228285,7.469411
